"PAYS","variable","value"
"Sénégal","CA07",0
"Singapour","CA07",0
"Suisse","CA07",0
"Tchad","CA07",0
"Thailande","CA07",0
"Ukraine","CA07",0
"Albanie","CA07",0
"Bangladesh","CA07",0
"Bolivie","CA07",0
"Bulgarie","CA07",0
"Croatie","CA07",0
"Cuba","CA07",0
"Géorgie","CA07",0
"Islande","CA07",0
"Kazakhstan","CA07",0
"Kenya","CA07",0
"Liban","CA07",0
"Lituanie","CA07",0
"Malaisie","CA07",0
"Maroc","CA07",0
"Perou","CA07",0
"République Tchèque","CA07",0
"Slovaquie","CA07",0
"Slovénie","CA07",0
"Sri Lanka","CA07",0
"Uruguay","CA07",0
"Venezuela","CA07",0
"France","CA08",3
"Etats-Unis","CA08",4
"Royaume-Uni","CA08",0
"Italie","CA08",2
"Japon","CA08",0
"Chine","CA08",1
"Russie","CA08",0
"Canada","CA08",1
"Corée du Sud","CA08",0
"Taiwan","CA08",0
"Danemark","CA08",0
"Mexique","CA08",0
"Belgique","CA08",1
"Espagne","CA08",0
"Australie","CA08",0
"Autriche","CA08",0
"Israel","CA08",1
"Allemagne","CA08",1
"Argentine","CA08",2
"Iran","CA08",0
"Portugal","CA08",0
"Turquie","CA08",1
"Brésil","CA08",2
"Hong-Kong","CA08",0
"Roumanie","CA08",0
"Finlande","CA08",0
"Grèce","CA08",0
"Hongrie","CA08",1
"Serbie","CA08",0
"Suède","CA08",0
"Nouvelle-Zélande","CA08",0
"Philippines","CA08",1
"Pologne","CA08",0
"Afrique du Sud","CA08",0
"Algérie","CA08",0
"Bosnie","CA08",0
"Burkina Faso","CA08",0
"Cambodge","CA08",0
"Chili","CA08",0
"Colombie","CA08",0
"Egypte","CA08",0
"Guinée","CA08",0
"Haiti","CA08",0
"Inde","CA08",0
"Irak","CA08",0
"Irlande","CA08",0
"Mali","CA08",0
"Mauritanie","CA08",0
"Norvège","CA08",0
"Palestine","CA08",0
"Pays-Bas","CA08",0
"Sénégal","CA08",0
"Singapour","CA08",1
"Suisse","CA08",0
"Tchad","CA08",0
"Thailande","CA08",0
"Ukraine","CA08",0
"Albanie","CA08",0
"Bangladesh","CA08",0
"Bolivie","CA08",0
"Bulgarie","CA08",0
"Croatie","CA08",0
"Cuba","CA08",0
"Géorgie","CA08",0
"Islande","CA08",0
"Kazakhstan","CA08",0
"Kenya","CA08",0
"Liban","CA08",0
"Lituanie","CA08",0
"Malaisie","CA08",0
"Maroc","CA08",0
"Perou","CA08",0
"République Tchèque","CA08",0
"Slovaquie","CA08",0
"Slovénie","CA08",0
"Sri Lanka","CA08",0
"Uruguay","CA08",0
"Venezuela","CA08",0
"France","CA09",4
"Etats-Unis","CA09",1
"Royaume-Uni","CA09",2
"Italie","CA09",1
"Japon","CA09",0
"Chine","CA09",1
"Russie","CA09",0
"Canada","CA09",0
"Corée du Sud","CA09",1
"Taiwan","CA09",2
"Danemark","CA09",1
"Mexique","CA09",0
"Belgique","CA09",0
"Espagne","CA09",2
"Australie","CA09",0
"Autriche","CA09",1
"Israel","CA09",1
"Allemagne","CA09",0
"Argentine","CA09",0
"Iran","CA09",0
"Portugal","CA09",0
"Turquie","CA09",0
"Brésil","CA09",0
"Hong-Kong","CA09",1
"Roumanie","CA09",0
"Finlande","CA09",0
"Grèce","CA09",0
"Hongrie","CA09",0
"Serbie","CA09",0
"Suède","CA09",0
"Nouvelle-Zélande","CA09",1
"Philippines","CA09",1
"Pologne","CA09",0
"Afrique du Sud","CA09",0
"Algérie","CA09",0
"Bosnie","CA09",0
"Burkina Faso","CA09",0
"Cambodge","CA09",0
"Chili","CA09",0
"Colombie","CA09",0
"Egypte","CA09",0
"Guinée","CA09",0
"Haiti","CA09",0
"Inde","CA09",0
"Irak","CA09",0
"Irlande","CA09",0
"Mali","CA09",0
"Mauritanie","CA09",0
"Norvège","CA09",0
"Palestine","CA09",0
"Pays-Bas","CA09",0
"Sénégal","CA09",0
"Singapour","CA09",0
"Suisse","CA09",0
"Tchad","CA09",0
"Thailande","CA09",0
"Ukraine","CA09",0
"Albanie","CA09",0
"Bangladesh","CA09",0
"Bolivie","CA09",0
"Bulgarie","CA09",0
"Croatie","CA09",0
"Cuba","CA09",0
"Géorgie","CA09",0
"Islande","CA09",0
"Kazakhstan","CA09",0
"Kenya","CA09",0
"Liban","CA09",0
"Lituanie","CA09",0
"Malaisie","CA09",0
"Maroc","CA09",0
"Perou","CA09",0
"République Tchèque","CA09",0
"Slovaquie","CA09",0
"Slovénie","CA09",0
"Sri Lanka","CA09",0
"Uruguay","CA09",0
"Venezuela","CA09",0
"France","CA10",6
"Etats-Unis","CA10",1
"Royaume-Uni","CA10",3
"Italie","CA10",1
"Japon","CA10",1
"Chine","CA10",1
"Russie","CA10",1
"Canada","CA10",0
"Corée du Sud","CA10",2
"Taiwan","CA10",0
"Danemark","CA10",0
"Mexique","CA10",0
"Belgique","CA10",0
"Espagne","CA10",1
"Australie","CA10",0
"Autriche","CA10",0
"Israel","CA10",0
"Allemagne","CA10",1
"Argentine","CA10",0
"Iran","CA10",0
"Portugal","CA10",0
"Turquie","CA10",0
"Brésil","CA10",0
"Hong-Kong","CA10",0
"Roumanie","CA10",0
"Finlande","CA10",0
"Grèce","CA10",0
"Hongrie","CA10",1
"Serbie","CA10",0
"Suède","CA10",0
"Nouvelle-Zélande","CA10",0
"Philippines","CA10",0
"Pologne","CA10",0
"Afrique du Sud","CA10",0
"Algérie","CA10",0
"Bosnie","CA10",0
"Burkina Faso","CA10",0
"Cambodge","CA10",0
"Chili","CA10",0
"Colombie","CA10",0
"Egypte","CA10",0
"Guinée","CA10",0
"Haiti","CA10",0
"Inde","CA10",0
"Irak","CA10",0
"Irlande","CA10",0
"Mali","CA10",0
"Mauritanie","CA10",0
"Norvège","CA10",0
"Palestine","CA10",0
"Pays-Bas","CA10",0
"Sénégal","CA10",0
"Singapour","CA10",0
"Suisse","CA10",0
"Tchad","CA10",0
"Thailande","CA10",0
"Ukraine","CA10",0
"Albanie","CA10",0
"Bangladesh","CA10",0
"Bolivie","CA10",0
"Bulgarie","CA10",0
"Croatie","CA10",0
"Cuba","CA10",0
"Géorgie","CA10",0
"Islande","CA10",0
"Kazakhstan","CA10",0
"Kenya","CA10",0
"Liban","CA10",0
"Lituanie","CA10",0
"Malaisie","CA10",0
"Maroc","CA10",0
"Perou","CA10",0
"République Tchèque","CA10",0
"Slovaquie","CA10",0
"Slovénie","CA10",0
"Sri Lanka","CA10",0
"Uruguay","CA10",0
"Venezuela","CA10",0
"France","CA11",5
"Etats-Unis","CA11",1
"Royaume-Uni","CA11",1
"Italie","CA11",2
"Japon","CA11",2
"Chine","CA11",0
"Russie","CA11",0
"Canada","CA11",0
"Corée du Sud","CA11",0
"Taiwan","CA11",0
"Danemark","CA11",1
"Mexique","CA11",0
"Belgique","CA11",1
"Espagne","CA11",1
"Australie","CA11",1
"Autriche","CA11",1
"Israel","CA11",1
"Allemagne","CA11",0
"Argentine","CA11",0
"Iran","CA11",0
"Portugal","CA11",0
"Turquie","CA11",1
"Brésil","CA11",0
"Hong-Kong","CA11",0
"Roumanie","CA11",0
"Finlande","CA11",1
"Grèce","CA11",0
"Hongrie","CA11",0
"Serbie","CA11",0
"Suède","CA11",0
"Nouvelle-Zélande","CA11",0
"Philippines","CA11",0
"Pologne","CA11",0
"Afrique du Sud","CA11",0
"Algérie","CA11",0
"Bosnie","CA11",0
"Burkina Faso","CA11",0
"Cambodge","CA11",0
"Chili","CA11",0
"Colombie","CA11",0
"Egypte","CA11",0
"Guinée","CA11",0
"Haiti","CA11",0
"Inde","CA11",0
"Irak","CA11",0
"Irlande","CA11",0
"Mali","CA11",0
"Mauritanie","CA11",0
"Norvège","CA11",0
"Palestine","CA11",0
"Pays-Bas","CA11",0
"Sénégal","CA11",0
"Singapour","CA11",0
"Suisse","CA11",0
"Tchad","CA11",0
"Thailande","CA11",0
"Ukraine","CA11",0
"Albanie","CA11",0
"Bangladesh","CA11",0
"Bolivie","CA11",0
"Bulgarie","CA11",0
"Croatie","CA11",0
"Cuba","CA11",0
"Géorgie","CA11",0
"Islande","CA11",0
"Kazakhstan","CA11",0
"Kenya","CA11",0
"Liban","CA11",0
"Lituanie","CA11",0
"Malaisie","CA11",0
"Maroc","CA11",0
"Perou","CA11",0
"République Tchèque","CA11",0
"Slovaquie","CA11",0
"Slovénie","CA11",0
"Sri Lanka","CA11",0
"Uruguay","CA11",0
"Venezuela","CA11",0
"France","CA12",3
"Etats-Unis","CA12",6
"Royaume-Uni","CA12",1
"Italie","CA12",1
"Japon","CA12",1
"Chine","CA12",0
"Russie","CA12",0
"Canada","CA12",1
"Corée du Sud","CA12",2
"Taiwan","CA12",0
"Danemark","CA12",1
"Mexique","CA12",1
"Belgique","CA12",0
"Espagne","CA12",0
"Australie","CA12",0
"Autriche","CA12",2
"Israel","CA12",0
"Allemagne","CA12",0
"Argentine","CA12",0
"Iran","CA12",0
"Portugal","CA12",0
"Turquie","CA12",0
"Brésil","CA12",0
"Hong-Kong","CA12",0
"Roumanie","CA12",1
"Finlande","CA12",0
"Grèce","CA12",0
"Hongrie","CA12",0
"Serbie","CA12",0
"Suède","CA12",0
"Nouvelle-Zélande","CA12",0
"Philippines","CA12",0
"Pologne","CA12",0
"Afrique du Sud","CA12",0
"Algérie","CA12",0
"Bosnie","CA12",0
"Burkina Faso","CA12",0
"Cambodge","CA12",0
"Chili","CA12",0
"Colombie","CA12",0
"Egypte","CA12",1
"Guinée","CA12",0
"Haiti","CA12",0
"Inde","CA12",0
"Irak","CA12",0
"Irlande","CA12",0
"Mali","CA12",0
"Mauritanie","CA12",0
"Norvège","CA12",0
"Palestine","CA12",0
"Pays-Bas","CA12",0
"Sénégal","CA12",0
"Singapour","CA12",0
"Suisse","CA12",0
"Tchad","CA12",0
"Thailande","CA12",0
"Ukraine","CA12",1
"Albanie","CA12",0
"Bangladesh","CA12",0
"Bolivie","CA12",0
"Bulgarie","CA12",0
"Croatie","CA12",0
"Cuba","CA12",0
"Géorgie","CA12",0
"Islande","CA12",0
"Kazakhstan","CA12",0
"Kenya","CA12",0
"Liban","CA12",0
"Lituanie","CA12",0
"Malaisie","CA12",0
"Maroc","CA12",0
"Perou","CA12",0
"République Tchèque","CA12",0
"Slovaquie","CA12",0
"Slovénie","CA12",0
"Sri Lanka","CA12",0
"Uruguay","CA12",0
"Venezuela","CA12",0
"France","CA13",6
"Etats-Unis","CA13",4
"Royaume-Uni","CA13",1
"Italie","CA13",1
"Japon","CA13",2
"Chine","CA13",1
"Russie","CA13",0
"Canada","CA13",0
"Corée du Sud","CA13",0
"Taiwan","CA13",0
"Danemark","CA13",1
"Mexique","CA13",1
"Belgique","CA13",0
"Espagne","CA13",0
"Australie","CA13",0
"Autriche","CA13",0
"Israel","CA13",0
"Allemagne","CA13",1
"Argentine","CA13",0
"Iran","CA13",0
"Portugal","CA13",0
"Turquie","CA13",0
"Brésil","CA13",0
"Hong-Kong","CA13",0
"Roumanie","CA13",0
"Finlande","CA13",0
"Grèce","CA13",0
"Hongrie","CA13",0
"Serbie","CA13",0
"Suède","CA13",0
"Nouvelle-Zélande","CA13",0
"Philippines","CA13",0
"Pologne","CA13",0
"Afrique du Sud","CA13",0
"Algérie","CA13",0
"Bosnie","CA13",0
"Burkina Faso","CA13",0
"Cambodge","CA13",0
"Chili","CA13",0
"Colombie","CA13",0
"Egypte","CA13",0
"Guinée","CA13",0
"Haiti","CA13",0
"Inde","CA13",0
"Irak","CA13",0
"Irlande","CA13",0
"Mali","CA13",0
"Mauritanie","CA13",0
"Norvège","CA13",0
"Palestine","CA13",0
"Pays-Bas","CA13",1
"Sénégal","CA13",0
"Singapour","CA13",0
"Suisse","CA13",0
"Tchad","CA13",1
"Thailande","CA13",0
"Ukraine","CA13",0
"Albanie","CA13",0
"Bangladesh","CA13",0
"Bolivie","CA13",0
"Bulgarie","CA13",0
"Croatie","CA13",0
"Cuba","CA13",0
"Géorgie","CA13",0
"Islande","CA13",0
"Kazakhstan","CA13",0
"Kenya","CA13",0
"Liban","CA13",0
"Lituanie","CA13",0
"Malaisie","CA13",0
"Maroc","CA13",0
"Perou","CA13",0
"République Tchèque","CA13",0
"Slovaquie","CA13",0
"Slovénie","CA13",0
"Sri Lanka","CA13",0
"Uruguay","CA13",0
"Venezuela","CA13",0
"France","CA14",3
"Etats-Unis","CA14",2
"Royaume-Uni","CA14",2
"Italie","CA14",1
"Japon","CA14",1
"Chine","CA14",0
"Russie","CA14",1
"Canada","CA14",3
"Corée du Sud","CA14",0
"Taiwan","CA14",0
"Danemark","CA14",0
"Mexique","CA14",0
"Belgique","CA14",1
"Espagne","CA14",0
"Australie","CA14",0
"Autriche","CA14",0
"Israel","CA14",0
"Allemagne","CA14",0
"Argentine","CA14",1
"Iran","CA14",0
"Portugal","CA14",0
"Turquie","CA14",1
"Brésil","CA14",0
"Hong-Kong","CA14",0
"Roumanie","CA14",0
"Finlande","CA14",0
"Grèce","CA14",0
"Hongrie","CA14",0
"Serbie","CA14",0
"Suède","CA14",0
"Nouvelle-Zélande","CA14",0
"Philippines","CA14",0
"Pologne","CA14",0
"Afrique du Sud","CA14",0
"Algérie","CA14",0
"Bosnie","CA14",0
"Burkina Faso","CA14",0
"Cambodge","CA14",0
"Chili","CA14",0
"Colombie","CA14",0
"Egypte","CA14",0
"Guinée","CA14",0
"Haiti","CA14",0
"Inde","CA14",0
"Irak","CA14",0
"Irlande","CA14",0
"Mali","CA14",0
"Mauritanie","CA14",1
"Norvège","CA14",0
"Palestine","CA14",0
"Pays-Bas","CA14",0
"Sénégal","CA14",0
"Singapour","CA14",0
"Suisse","CA14",1
"Tchad","CA14",0
"Thailande","CA14",0
"Ukraine","CA14",0
"Albanie","CA14",0
"Bangladesh","CA14",0
"Bolivie","CA14",0
"Bulgarie","CA14",0
"Croatie","CA14",0
"Cuba","CA14",0
"Géorgie","CA14",0
"Islande","CA14",0
"Kazakhstan","CA14",0
"Kenya","CA14",0
"Liban","CA14",0
"Lituanie","CA14",0
"Malaisie","CA14",0
"Maroc","CA14",0
"Perou","CA14",0
"République Tchèque","CA14",0
"Slovaquie","CA14",0
"Slovénie","CA14",0
"Sri Lanka","CA14",0
"Uruguay","CA14",0
"Venezuela","CA14",0
"France","CA15",5
"Etats-Unis","CA15",3
"Royaume-Uni","CA15",1
"Italie","CA15",3
"Japon","CA15",1
"Chine","CA15",1
"Russie","CA15",0
"Canada","CA15",0
"Corée du Sud","CA15",0
"Taiwan","CA15",1
"Danemark","CA15",0
"Mexique","CA15",1
"Belgique","CA15",0
"Espagne","CA15",0
"Australie","CA15",0
"Autriche","CA15",0
"Israel","CA15",0
"Allemagne","CA15",0
"Argentine","CA15",0
"Iran","CA15",0
"Portugal","CA15",0
"Turquie","CA15",0
"Brésil","CA15",0
"Hong-Kong","CA15",0
"Roumanie","CA15",0
"Finlande","CA15",0
"Grèce","CA15",1
"Hongrie","CA15",1
"Serbie","CA15",0
"Suède","CA15",0
"Nouvelle-Zélande","CA15",0
"Philippines","CA15",0
"Pologne","CA15",0
"Afrique du Sud","CA15",0
"Algérie","CA15",0
"Bosnie","CA15",0
"Burkina Faso","CA15",0
"Cambodge","CA15",0
"Chili","CA15",0
"Colombie","CA15",0
"Egypte","CA15",0
"Guinée","CA15",0
"Haiti","CA15",0
"Inde","CA15",0
"Irak","CA15",0
"Irlande","CA15",0
"Mali","CA15",0
"Mauritanie","CA15",0
"Norvège","CA15",1
"Palestine","CA15",0
"Pays-Bas","CA15",0
"Sénégal","CA15",0
"Singapour","CA15",0
"Suisse","CA15",0
"Tchad","CA15",0
"Thailande","CA15",0
"Ukraine","CA15",0
"Albanie","CA15",0
"Bangladesh","CA15",0
"Bolivie","CA15",0
"Bulgarie","CA15",0
"Croatie","CA15",0
"Cuba","CA15",0
"Géorgie","CA15",0
"Islande","CA15",0
"Kazakhstan","CA15",0
"Kenya","CA15",0
"Liban","CA15",0
"Lituanie","CA15",0
"Malaisie","CA15",0
"Maroc","CA15",0
"Perou","CA15",0
"République Tchèque","CA15",0
"Slovaquie","CA15",0
"Slovénie","CA15",0
"Sri Lanka","CA15",0
"Uruguay","CA15",0
"Venezuela","CA15",0
"France","CA16",5
"Etats-Unis","CA16",3
"Royaume-Uni","CA16",2
"Italie","CA16",0
"Japon","CA16",0
"Chine","CA16",0
"Russie","CA16",0
"Canada","CA16",1
"Corée du Sud","CA16",1
"Taiwan","CA16",0
"Danemark","CA16",1
"Mexique","CA16",0
"Belgique","CA16",1
"Espagne","CA16",1
"Australie","CA16",0
"Autriche","CA16",0
"Israel","CA16",0
"Allemagne","CA16",1
"Argentine","CA16",0
"Iran","CA16",1
"Portugal","CA16",0
"Turquie","CA16",0
"Brésil","CA16",1
"Hong-Kong","CA16",0
"Roumanie","CA16",2
"Finlande","CA16",0
"Grèce","CA16",0
"Hongrie","CA16",0
"Serbie","CA16",0
"Suède","CA16",0
"Nouvelle-Zélande","CA16",0
"Philippines","CA16",1
"Pologne","CA16",0
"Afrique du Sud","CA16",0
"Algérie","CA16",0
"Bosnie","CA16",0
"Burkina Faso","CA16",0
"Cambodge","CA16",0
"Chili","CA16",0
"Colombie","CA16",0
"Egypte","CA16",0
"Guinée","CA16",0
"Haiti","CA16",0
"Inde","CA16",0
"Irak","CA16",0
"Irlande","CA16",0
"Mali","CA16",0
"Mauritanie","CA16",0
"Norvège","CA16",0
"Palestine","CA16",0
"Pays-Bas","CA16",0
"Sénégal","CA16",0
"Singapour","CA16",0
"Suisse","CA16",0
"Tchad","CA16",0
"Thailande","CA16",0
"Ukraine","CA16",0
"Albanie","CA16",0
"Bangladesh","CA16",0
"Bolivie","CA16",0
"Bulgarie","CA16",0
"Croatie","CA16",0
"Cuba","CA16",0
"Géorgie","CA16",0
"Islande","CA16",0
"Kazakhstan","CA16",0
"Kenya","CA16",0
"Liban","CA16",0
"Lituanie","CA16",0
"Malaisie","CA16",0
"Maroc","CA16",0
"Perou","CA16",0
"République Tchèque","CA16",0
"Slovaquie","CA16",0
"Slovénie","CA16",0
"Sri Lanka","CA16",0
"Uruguay","CA16",0
"Venezuela","CA16",0
